一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
幹;tree trunk;_Mist_ . . . _umbrella_ . . . _dry_. The meaning of this key word extends beyond **tree trunks** to represent the main stem or line of anything from railway lines to managerial staffs. This should help distinguish it from the stories used earlier for _book_ (Frame 224) and _body_ (Frame 1030), both of which made use of the image of a **tree trunk** , as well as the kanji for _trunk_ (Frame 194).;;1) [[sweetneet](http://kanji.koohii.com/profile/sweetneet)] 12-1-2007(299): A fine _mist_ is falling, and so everyone gathers around near the **tree-trunk** , effectively using the rest of the tree as an _umbrella_ in order to keep _dry_.;2) [[synewave](http://kanji.koohii.com/profile/synewave)] 10-5-2007(64): By astridtops - In the rainy _mist_ , Totoro is standing in front of a **tree- trunk** at the bus stop, under the _umbrella_ he just received. Look at him smiling: even when the big drops fall, he remains _dry_! Great story…which I get to by thinking: **tree-trunk** -> **TT** - > **T** onari no **T** otoro. I also imagine Mickey Mouse is there too as the KUNyomi for this kanji is みき.;3) [[usis35](http://kanji.koohii.com/profile/usis35)] 8-10-2009(22): The word that you will sure see with this kanji is shinkansen (bullet train). 新幹線 . STORY: Shinkansen is very expensive, so I only use it when a MIST is falling. I prefer the train than an UMBRELLA to stay DRY.;4) [[rtkrtk](http://kanji.koohii.com/profile/rtkrtk)] 6-2-2008(20): There is no tree in this kanji! So think of a cold, bare, dead **tree-trunk** , with the upper branches all cut off. Residents of the neighboring house have run a _clothesline_ from their window to the dead **tree-trunk**. You are filled with sadness, seeing the greatness of nature being destroyed and exploited by mankind. You are walking by this sad scene on a cold and drizzly day with a fine _mist_ descending, using an _umbrella_ to keep yourself _dry_.;5) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 22-7-2006(12): In the rainy _mist_ , Totoro is standing in front of a **tree-trunk** at the bus stop, under the _umbrella_ he just received. Look at him smiling: even when the big drops fall, he remains _dry_!
芋;potato;Flowers . . . potato.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(239): If your **potato** s are growing _flowers_ and those little _hooked roots_ , you should either buy less or eat them faster.;2) [[rtkrtk](http://kanji.koohii.com/profile/rtkrtk)] 3-2-2008(77): If your **potato** es are growing _flowers_ , you need to store them in a more _dry_ place, like hanging them on _hooks_ so they don't accumulate moisture on the floor.;3) [[esaulgd](http://kanji.koohii.com/profile/esaulgd)] 4-5-2008(53): Believe it or not, originally the **potato** was cultivated because of its beautiful _flowers_ rather than for eating the actual " _potato_ " below. (historical fact).;4) [[fuaburisu](http://kanji.koohii.com/profile/fuaburisu)] 21-1-2006(18): Tip : the bottom primitive ( _potato with hooks_ ) can be thought of as "Mr **Potato** Head", the toy patented in 1952 with which you can make faces. This _potato_ has little _hooks_ onto which you can attach ears, noses, glasses, etc. to make all sorts of faces.;5) [[Murjab](http://kanji.koohii.com/profile/Murjab)] 1-12-2008(10): The **potato** plant consists of both flowers and the root below. The root (the part of a plant that hooks into the soil), is all that most people think of when they hear the word "potato." Therefore, while the kanji for **potato** contains all parts of the plant - flowers and roots - as a primitive, only focus on the important part - the roots.
宇;eaves;House . . . potato.;;1) [[erikkusan](http://kanji.koohii.com/profile/erikkusan)] 19-3-2006(187): Under the **eaves** of the house the poor family has potate plants.;2) [[Immacolata](http://kanji.koohii.com/profile/Immacolata)] 23-4-2006(84): Very good image Erik. To help those who struggleded with this, the **eaves** of a house is usually the bit where you hang the roof gutter along, usually made of zinc or plastic and shaped as a half-pipe. It catches rain water, so it flows to a drain pipe instead of down onto people and windows. And in this family the potato plants grow along the **eaves** so the water pours down on them. They are poor. so no gutter.;3) [[DrJones](http://kanji.koohii.com/profile/DrJones)] 9-3-2008(45): This kanji means **universe** , seen here as a _roof_ as that was how it was represented back then the _vault of heaven_. Today, we know that seen from the **universe** , our planet has the aspect of a _potato_ , and not a perfect sphere.;4) [[DurablePants](http://kanji.koohii.com/profile/DurablePants)] 22-6-2006(34): During christmas, since your family is TOO POOR, you hang potatoes off the **eaves** instead of christmas lights.;5) [[igordesu](http://kanji.koohii.com/profile/igordesu)] 13-2-2009(11): Sam at the beginning of the Lord of the Rings was outside the house in the potato bushes when Gandalf was talking with Frodo, even though he denied it: "I wasn't dropping no **eaves** , sir. Honest!".
余;too much;_Umbrella_ . . . _potato_ . . . _little_. The last stroke of _potato_ and the first of _little_ coincide in this character.;* Since the phrase " _too much_ " is overly abstract, we shall take the image of a _scale_ whose indicator spins round and round on the dial because _too much_ weight has been set on it. It will help to use this image in learning the kanji itself.;1) [[RoboTact](http://kanji.koohii.com/profile/RoboTact)] 11-7-2007(183): You hang an _umbrella_ upside-down on a hook of the **scales** and fill it with _little_ _potatoes_. No luck: it weights **too much**.;2) [[DrJones](http://kanji.koohii.com/profile/DrJones)] 7-3-2008(147): This is the kanji for 「あまり Amari」, which means **too little** in negative sentences and **too much** in the rest (always with a negative sense). I take the liberty of using the symbol " >" ( **more than** , another meaning!!) as the _umbrella_ component, and using [two](../v4/2.html) (#2 二) and [little](../v4/105.html) (#105 小) for the _potato_ primitive. So, this kanji either means " _two_ much" (more than 2) or " _two little_ ". (thanks, Virtua_leaf and Thunderball!).;3) [[BigAmish](http://kanji.koohii.com/profile/BigAmish)] 2-7-2008(50): I was worried that my _POTATOES_ were getting **TOO MUCH** direct sunlight so I stood over them with an _UMBRELLA_. Now they are getting too _LITTLE_ rain! I clearly have **TOO MUCH** free time on my hands.;4) [[rowdyphantom](http://kanji.koohii.com/profile/rowdyphantom)] 17-11-2009(25): _Umbrellas_ for _little potatoes_??? That's **too much**!;5) [[Talka](http://kanji.koohii.com/profile/Talka)] 12-9-2007(11): You're weighing potatoes to take from the market but they weigh **too much**. It's windy, so you hook your umbrella onto the scale hoping to subtract weight by catching the wind's force. Still **too much** weight. Just give up and select some smaller potatoes, man. Won't be **too much** weight then.
除;exclude;Pinnacle . . . scale.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(245): To become a member of _The Pinnacle_ , they test you on a _scale_. If you weigh _too much_ , they **exclude** you.;2) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 28-11-2006(69): You won't make it unless you **exclude** something. The climb to the _pinacle_ cannot be completed if you are carrying _too much_. You just have to decide what you can afford to **exclude**.;3) [[Copycatken](http://kanji.koohii.com/profile/Copycatken)] 13-5-2009(16): Before entering _The Pinnacle_ , one must be weighed on a _scale_. The authorities have to **exclude** anyone who is over 300 pds since their weight might damage the floor.;4) [[Harrow](http://kanji.koohii.com/profile/Harrow)] 17-5-2009(6): Officials at the Acropolis **exclude** access to vehicles that weigh too much. Some gate staff also apply this to people (generally Americans) who weigh over 250 lbs.;5) [[Virtua_Leaf](http://kanji.koohii.com/profile/Virtua_Leaf)] 2-10-2009(4): (insert fat celeb here) is **exclude** d at _The Pinnacle_ because he/she weighs _too much_.
徐;gradually;Line . . . scale.;;1) [[sweetneet](http://kanji.koohii.com/profile/sweetneet)] 27-9-2006(166): You can't expect weight loss to happen overnight. You should limit _going_ to the _scale_ to weigh yourself to once a day or once a week, in order to observe the anticipated weight loss **gradually**.;2) [[slats70](http://kanji.koohii.com/profile/slats70)] 10-1-2009(79): I set up a _column_ chart next to my _scales_ so I could record my weight **gradually** changing.;3) [[Nukemarine](http://kanji.koohii.com/profile/Nukemarine)] 28-11-2007(26): Remember the urban legend of the ARMY COLUMN that weighed TOO MUCH with their rythmic marching that the bridge collapsed? Now ARMY COLUMNS will march **GRADUALLY** across so that they do not bear TOO MUCH on the bridge.;4) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(21): _Flash_ didn't get fat overnight. He **gradually** added a pound on the _scale_ here and there until finally he weighed _too much_ to fit into his snazzy red costume. (Credit: CharleyGarrett).;5) [[scout](http://kanji.koohii.com/profile/scout)] 11-2-2008(12): Ever since he's stopped doing Tours, _Lance_ has been **gradually** gaining weight. See him cringe as he steps on a _scale_ and sees it **gradually** go up!
叙;confer;_Scale_ . . _crotch_. The key word has to do with **conferring** ranks, titles, and awards. It should not be confused with _bestow_ (Frame 1335) or _impart_ (Frame 795).;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 7-3-2007(251): Amazed at the _weight_ of his _crotch_ , they **confer** red every honor upon him. (Image: guy with his junk on a scale getting a medal pinned to his chest/around his neck/being knighted, etc.).;2) [[DrJones](http://kanji.koohii.com/profile/DrJones)] 7-3-2008(45): (This kanji stands for **description** in my kanji dictionary) "At first, I thought it was _too little_ , but soon became _too much_ ", is the **description** that my girlfriend gave of my _crotch_.;3) [[Christoph](http://kanji.koohii.com/profile/Christoph)] 27-4-2007(27): When you **confer** _again_ 又 , you **confer** _too much_ 余 !;4) [[aircawn](http://kanji.koohii.com/profile/aircawn)] 5-3-2007(17): When the fighter was weighed, the _scales spun wildly_. On closer inspection, it seems he is well-endowed and his _crotch_ was pressing against the scales, adding vastly more amounts of weight. The judges then had to **confer** amongst themselves to consider what should be his real weight division.;5) [[fiminor](http://kanji.koohii.com/profile/fiminor)] 15-3-2007(14): Having honours **confer** red on him proved to be _too much_! He overbalanced, so instead of kneeling at the queen's feet, he somehow ended up sitting _cross- legged_.
途;route;Scale . . . road.;;1) [[ergerg](http://kanji.koohii.com/profile/ergerg)] 19-10-2006(244): On this **route** , all trucks have to check in at the scales before they can get on the road.;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 9-10-2008(75): There are _too many roads_ , so you need to plan a **route**.;3) [[Matthew](http://kanji.koohii.com/profile/Matthew)] 22-4-2007(25): When you’re spending _too much_ time on the _road_ , you’re always en _route_ to somewhere.;4) [[cbogart](http://kanji.koohii.com/profile/cbogart)] 28-1-2007(24): Truck drivers in the US have to drive the truck onto some massive scales at state borders, for tax reasons. They have to plan their **route** accordingly, there aren't scales on every road.;5) [[tokyokanji](http://kanji.koohii.com/profile/tokyokanji)] 16-9-2009(18): Too much traffic on this road, lets take a different **route**!
斜;diagonal;Scale . . . measuring cup.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 26-4-2007(184): The main bar of an old-fashioned _scale(balance)_ will be very **diagonal** if you place a giant _measuring cup_ on one side.;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 15-7-2009(92): The _scale_ tilts **diagonal** ly when a _measuring cup_ filled with _too much_ is set on one end.;3) [[sacmaliyorsun](http://kanji.koohii.com/profile/sacmaliyorsun)] 18-2-2008(56): The constellation of libra (meaning " scales" in latin) is **diagonal** to the handle of the big dipper.;4) [[Peppi](http://kanji.koohii.com/profile/Peppi)] 17-6-2009(23): An old scale with _measuring cups_ on both sides: If you put _too much_ in only one of the _measuring cups_ , the bar will change its position to **diagonal** (one _measuring cup_ outweights the other).;5) [[davidvance](http://kanji.koohii.com/profile/davidvance)] 31-1-2010(10): If you visit **DiagonAl** ley, you'll find a lot of shops measuring out potion ingredients with _scales_ and _measuring cups_.
塗;paint;Water . . . scale . . . ground.;;1) [[jamiemw](http://kanji.koohii.com/profile/jamiemw)] 2-10-2007(263): If you add _too much water_ to the **paint** it will drip onto the _ground_.;2) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(133): A true artisan mixes his own **paint** from _water_ and _soils_ on a _scale_ in careful proportions.;3) [[akrodha](http://kanji.koohii.com/profile/akrodha)] 28-5-2007(31): People ask why the ground of our backyard is entirely white. Well, my cheapskate dad wanted to add a fresh coat of white **paint** to our house. He bought the biggest, cheapest tub, placed it on a scale in our yard, and started diluting it with water. It was working fine, and he was adding water drop by drop and carefully checking the weight each time. However, his hand slipped, and he added _too much water_ and the _scale broke down violently_ , spilling the **paint** _all over the ground_.;4) [[richcoop](http://kanji.koohii.com/profile/richcoop)] 12-7-2009(19): The **paint** was WATERed down and TOO MUCH dripped on the GROUND.;5) [[BooBooQ88](http://kanji.koohii.com/profile/BooBooQ88)] 30-10-2009(5): If you put too much water in the **PAINT** mix in some soil to make it thicker.
束;bundle;In the same way that we were able to see the _sun_ in the _tree_ within the kanji for _east_ , here we see a square container in the shape of a _mouth_.;;1) [[synewave](http://kanji.koohii.com/profile/synewave)] 7-10-2006(184): Mnemonic: **Bundle** of joy. Here I see the proverbial stork with a baby hanging from its _mouth_ fly straight into a _tree_. Painful, but he doesn't drop the **bundle**.;2) [[raulir](http://kanji.koohii.com/profile/raulir)] 13-12-2006(126): Unlike in 杏 , this big mouth isn't content to wait for apricots to fall in his mouth, so he has climbed the tree and is taking them in **bundle** s.;3) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 9-7-2009(46): A **bundle** of some kind has been stuffed into the _opening_ of a _tree_.;4) [[Immacolata](http://kanji.koohii.com/profile/Immacolata)] 24-4-2006(18): This is an image of the monster Gojira (AKA Godzilla) that is so mad it has eaten all the trees. So a **bundle** of trees sticks out of Gojiras mouth as it rampages through Tokyo.;5) [[epangelia2k2](http://kanji.koohii.com/profile/epangelia2k2)] 10-6-2008(12): Tip: I was looking for a personification for **bundle** man [+fab] and came across this evocative story from the archives (1889) <http://query.nytimes.com/mem/archive- free/pdf?res=9901E5D9163BE033A25755C2A9659C94689FD7CF> Caution: the famous vagrant is known as Leather Man so don't confuse with [leather](../v4/1893.html) (#1893 革). But in the end I couldn't resist both because of the interesting story and the fact one of the possessions found in his mysterious sack (bundle) was an awl as used in subsequent frames 1671-1674!
頼;trust;Bundle . . . head.;;1) [[Hyland1](http://kanji.koohii.com/profile/Hyland1)] 21-4-2007(323): We found a bundle of severed heads in your room, its difficult to **trust** you.;2) [[Angrybeez](http://kanji.koohii.com/profile/Angrybeez)] 20-6-2008(28): Don't **Trust** the press just a _bundle_ of lies on every _page_!;3) [[Ricardo](http://kanji.koohii.com/profile/Ricardo)] 29-5-2007(26): [trust, request] Do you **trust** anything? Actually we do, as long as a _bundle_ of _heads_ say the same thing. If a _bundle_ of scientist's _heads_ say we live in a 12 dimensions universe, why should we not **trust** them?;4) [[harusame](http://kanji.koohii.com/profile/harusame)] 29-8-2009(12): Even though the stork didn't drop its _bundle_ when it crashed into the tree, I still don't **trust** it to deliver any more babies - the one I got isn't right in the _head_. Must be a result of the stork-tree collision (see also [quick](../v4/1669.html) (#1669 速)).;5) [[Filip](http://kanji.koohii.com/profile/Filip)] 28-2-2008(11): [頼む、たのむ](midori://search?text=頼む、たのむ) Godzilla requested a bundle of heads. If we give it, he will spare the rest. Can we **trust** him?
瀬;rapids;Water . . . bundle . . . head.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(167): You need complete _trust_ in your _water_ guide to attempt Class 5 **rapids**.;2) [[Hyland1](http://kanji.koohii.com/profile/Hyland1)] 27-11-2006(60): You can never trust the water in the **rapids** , it will do everything it can to pull you under. Imagine a line of natives with bundles upon their heads all fighting the **rapids** to cross the river.;3) [[igordesu](http://kanji.koohii.com/profile/igordesu)] 16-2-2009(46): The water in the **rapids** can't be trusted.;4) [[Perry](http://kanji.koohii.com/profile/Perry)] 24-4-2010(29): When I saw a _bundle_ of severed _heads_ floating in the water, I didn't _trust_ the **rapids** , or the guide for that matter…;5) [[Mary_K](http://kanji.koohii.com/profile/Mary_K)] 10-8-2009(4): The _water_ of the **rapids** are not to be _trusted_.
勅;imperial order;In order to keep this character distinct from that for an _imperial edict_ (Frame 366), we must draw again on a pun. Think of the **order** here as a mail **order** or an **order** of pizza phoned in by the Emperor for delivery to the **imperial** palace. Then it will not be hard to put together _bundle_ and _muscle_ to form a story about an **imperial order**.;;1) [[vosmiura](http://kanji.koohii.com/profile/vosmiura)] 9-12-2007(248): This is an **imperial order** for pizza. To deliver the huge bundle of pizzas to the emperor, the pizza boy needs huge muscles.;2) [[RoboTact](http://kanji.koohii.com/profile/RoboTact)] 21-7-2007(64): **Imperial order** carries quite a _bundle_ of executive _power_.;3) [[Okonomiyaki](http://kanji.koohii.com/profile/Okonomiyaki)] 26-6-2008(30): "Did someone have an **imperial order** for pizza?" says the muscular delivery boy with a large "bundle" in the new adult film, "The Emperor's Nude Groove".;4) [[Virtua_Leaf](http://kanji.koohii.com/profile/Virtua_Leaf)] 15-1-2008(12): The emperor makes an **imperial order** : A _bundle_ of seafood pizzas, mainly with _muscles_ for topping.;5) [[CountPacula](http://kanji.koohii.com/profile/CountPacula)] 25-7-2008(8): A (written) **imperial order** : a little _bundle_ of paper that carries a lot of _power_.
疎;alienate;_Zoo_ . . . _bundle_. Note that the element for _zoo_ is flattened out on the left just as _leg_ (Frame 1372) had been. This is the only time we will meet this form in this book.;;1) [[Johnnyltn](http://kanji.koohii.com/profile/Johnnyltn)] 24-9-2006(183): [True story] In Osaka the homeless (the **alienate** d) live in large numbers around the city _zoo_. Picture them in winter all _bundled_ up in rags trying to keep warm, **alienate** d from the society, living literally worst than the animals in the _zoo_ who at least are _bundled_ in their natural furs and have pens to live in sheltered from the elements.;2) [[radical_tyro](http://kanji.koohii.com/profile/radical_tyro)] 10-7-2007(85): This kanji is so strange that it was **alienate** d at the kanji _zoo_. The _bundle_ of joy stork bundles this kanji up and takes it to a kanji foster home.;3) [[rgravina](http://kanji.koohii.com/profile/rgravina)] 10-9-2006(49): Think of a Kanji _Zoo_ , where we _bundle_ up all the bizarre and hard to remember kanji, to be ridiculed and _alienated_ from the other more sensible kanji. This kanji definately belongs there!;4) [[Nukemarine](http://kanji.koohii.com/profile/Nukemarine)] 16-5-2008(23): The cleaner at the ZOO felt **ALIENATE** D by everyone. Granted, he was carrying around the BUNDLE of manure he cleaned from the ZOO cages. (Just picture a zoo cleaner carrying a bundle of dung with the crowd avoiding him).;5) [[romanrozhok](http://kanji.koohii.com/profile/romanrozhok)] 20-2-2008(15): Very rarely does this kanji appear in a word meaning "alienate." The better meaning is "sparse," such as not dense, very few, scattered, or spread irregularly. It also appears in words that have to do with "neglect." 疎ら 【まばら】 (adj-na,n) sparse, (P) STORY: at the ZOO BUNDLES of happy animals are SPARSE.
辣;bitter;Spicy . . . bundle.;;1) [[paasan](http://kanji.koohii.com/profile/paasan)] 15-8-2010(32): **bitter** , _spicy_ , _bundle_ : In a desperate attempt of creating a new drink, they decided to mix a **bitter** drink with a _spicy_ one – now _bundled_ together for the same price of one! However, **bitter** ness didn't go well with the spicy, as seen in the misshape to the left.;2) [[decals](http://kanji.koohii.com/profile/decals)] 25-3-2011(24): The **bitter** taste was so awful that I put whole _bundle_ of _spice_ in my mouth to get rid of it.;3) [[hissatsu](http://kanji.koohii.com/profile/hissatsu)] 24-12-2010(8): I'm rather **bitter** that someone stole my _spice bundle_.;4) [[thecite](http://kanji.koohii.com/profile/thecite)] 8-12-2009(5): **severe** : When you were forced to put the spicy bundle of Wasabi in your mouth, you experienced severe pain.;5) [[eri401](http://kanji.koohii.com/profile/eri401)] 6-7-2011(3): Too many spicy things bundled in a meal will make anyone feel **bitter** towards the cook. 辛辣 , 辛らつ 【しんらつ】 (adj-na,n) **bitter** , sharp, acrimonious 悪辣 , 悪らつ 【あくらつ】 (adj-na) crafty, vicious, unscrupulous, sharp.
速;quick;Bundle . . . road.;;1) [[raulir](http://kanji.koohii.com/profile/raulir)] 28-12-2006(245): If you find a bundle of money on the road, pick it up **quick** before anyone notices.;2) [[Elphalpo](http://kanji.koohii.com/profile/Elphalpo)] 28-8-2008(55): Uh oh. The stork just dropped the _bundle_ of joy in the middle of the _road_. Somebody save it, **quick**!;3) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(23): Jack be nimble, Jack be **quick** , Jack jump over the _bundle_ in the middle of the road.;4) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 9-7-2009(22): A _bundle_ of optic fibers running along the _road_ makes for **quick** internet access.;5) [[zer0range](http://kanji.koohii.com/profile/zer0range)] 19-4-2009(11): I banged her **quick** , then bundled up and hit the road!
整;organize;Bundle . . . taskmaster . . . correct.;;1) [[synewave](http://kanji.koohii.com/profile/synewave)] 1-11-2006(251): Recycling in Japan, you have to make sure all your _bundles_ are **organize** d _correctly_ otherwise the _taskmasters_ won't accept them.;2) [[Jasta](http://kanji.koohii.com/profile/Jasta)] 1-7-2008(39): When a _bundle_ of _taskmasters_ **organize** something chances are it won't be done _correctly_ because they are constantly arguing.;3) [[Perry](http://kanji.koohii.com/profile/Perry)] 24-4-2010(30): **Organize** , def: when _taskmasters bundle_ tasks _correctly_.;4) [[torida](http://kanji.koohii.com/profile/torida)] 26-5-2010(22): At stork headquarters there is a _taskmaster_ who **organize** s all the outgoing _bundles of joy_. It is very important to **organize** things so that the _correct_ bundle goes to the _correct_ place!!! (Just imagine if the crocodiles opened their bundle to find kittens!!!).;5) [[Rooboy](http://kanji.koohii.com/profile/Rooboy)] 25-3-2009(22): When you have a _bundle_ of things to **organize** appoint a _taskmaster_ to oversee it is done _correct_ ly.
剣;saber;_Awl_ . . . _saber_. As we promised way back in frame 87, here at last is the kanji on which the primitive element of the same name is based.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(140): If it helps, make the awl primitive **ice pick** instead. They're basically the same thing. This kanji is an easy David vs. Goliath story of the **icepick** vs. the _saber_ …;2) [[fuaburisu](http://kanji.koohii.com/profile/fuaburisu)] 2-7-2008(96): Every self-respecting ninja knows the story of "The _Awl and the Sabre_ ". According to the legend, a woman once defended herself by using an _awl_ against a _sabre_! She used to work all day with that _awl_. However, the bandit using the _sabre_ had no skill. And thus the _awl_ beat the _sabre_. And from there the saying goes : "The _sabre_ is powerless against the _awl_ , if one can't use the _sabre_.".;3) [[romanrozhok](http://kanji.koohii.com/profile/romanrozhok)] 20-2-2008(73): ICE PICK primitive: How do you FIT a PERSON into a tight BOX (mouth primitive)? Poke holes in him with a ICE PICK, draining the blood and making the body smaller. STORY: If that does not work, take out your **SABER** and cut them up into neat pieces.;4) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 9-4-2007(58): As a non-native speaker of English, I really couldn't work with the awl primitive, since I can't even imagine what kind of tool it would be. So, I had another look at the primitive and it practically screamed a different meaning: _fit together_ and _person_ , i.e. Frankenstein's Monster. // The crowd came after the monster of Frankenstein with sabres!;5) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 13-1-2011(19): My light **saber** has an _awl_ setting. When I toggle the switch, the beam shrinks down to a little spike. My light **saber** becomes a light _awl_.
険;precipitous;Pinnacle . . . awl.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(203): The edge of _The Pinnacle_ is **precipitous** , so they have a guard posted with an _ice pick_ to poke people and keep them from the edge.;2) [[fuaburisu](http://kanji.koohii.com/profile/fuaburisu)] 18-6-2006(30): Well I have someone climbing an inflatable **precipitous** _pinnacle_. Once at the top it is so **precipitous** that the person is afraid to climb down and instead punctures the inflatable _pinnacle_ with an _awl_ to get safely and slowly back to the ground.;3) [[Floatingweed5](http://kanji.koohii.com/profile/Floatingweed5)] 28-11-2007(23): Frankenstein is chased by the villagers up to the **precipitous** edge of the pinnacle. (ref 1671 astridtops).;4) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 16-5-2008(19): The _Ice Climbers_ enjoy **precipitous** climbs - and what better place to climb than the **precipitous** _Pinnacle_!;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 8-4-2009(14): The rock climber trying to get up to the pinnacle is dangling from a **precipitous** edge, hanging only one with his icepick.
検;examination;Tree . . . awl.;;1) [[ergerg](http://kanji.koohii.com/profile/ergerg)] 15-1-2007(158): You're giving a TREE an **EXAMINATION**. You take a wood sample from the TREE with an AWL (cmp [exam](../v4/1278.html) (#1278 校)).;2) [[rtkrtk](http://kanji.koohii.com/profile/rtkrtk)] 4-2-2008(112): Don't confuse with [exam](../v4/1278.html) (#1278 校), [test](../v4/354.html) (#354 試), [evaluate](../v4/1487.html) (#1487 評). Think of **examination** as a doctor's **examination**. You're having problems getting _wood_ in bed. You go in for a doctor's **examination**. The doctor shoves an _icepick_ into your manhood as part of the **examination**.;3) [[nest0r](http://kanji.koohii.com/profile/nest0r)] 23-2-2008(50): After intense cross- **examination** from the prosecutor, the _tree_ confessed to murdering the _wood_ -pecker with an _awl_ … "He just kept at it, he kept poking at me with that beak, so I thought I'd see how HE liked it!!" The autopsy **examination** revealed at least a dozen puncture wounds, what a brutal case.;4) [[kioku3](http://kanji.koohii.com/profile/kioku3)] 13-1-2009(25): The doctor gives a physical **examination** to _Frankenstein's Monster._ The monster is so big the doctor has to use a _tree_ to hit his knee and check his reflexes. (I am using astridtops' primitive of _Frankenstein's Monster_ (fit (together) and person) in place of "awl").;5) [[thegeezer3](http://kanji.koohii.com/profile/thegeezer3)] 12-6-2007(17): Patient goes to see the doctor for an **examination**. he says "Everytime i walk i fart". Doc asks him to take a few steps and he farts constantly. Docs puzzled and has never seen this before. He asks him to repeat and it happens again. So the doc tells him to go to the examinatino area and take his pants off. He then gets out a giant wooden awl slightly hooked at the end. What the f* _k are you going to do with that!? asks teh patient. "Open the windows, it f_ cking stinks in here!" replies the doc.
倹;frugal;Person . . . awl.;;1) [[dingomick](http://kanji.koohii.com/profile/dingomick)] 10-9-2007(285): _Mr. T_ is as **frugal** as they come. He uses his one _ice pick_ for everything: to eat, pick his teeth, clean his toilet, kill people, cook, etc.;2) [[stshores24](http://kanji.koohii.com/profile/stshores24)] 21-9-2008(13): _Mr. T_ is so **frugal** , he hires _Frankenstein_ as a butler because he doesn't have to pay him.;3) [[Immacolata](http://kanji.koohii.com/profile/Immacolata)] 6-5-2006(7): Mr T is a **frugal** person in spite of his brash appearance. He brings an awl with him to fight for the A team, not wasting needless ammo and dynamite, since no one ever gets killed anyway in A team series.;5) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 27-9-2008(4): Some _n00b_ spent all the club's money, so _Haruhi_ teaches him how to be **frugal** (see [sabre/saber](http://kanji.koohii.com/study/kanji/1671) (#1671 剣).
